GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01850	3521443	305903	1.36	0.118	42.656045	-71.303309
01851	8662434	94451	3.345	0.036	42.627813	-71.335334
01852	12872188	596840	4.97	0.23	42.632978	-71.295616
01854	10189722	1390759	3.934	0.537	42.649481	-71.348229
01860	22002284	1031927	8.495	0.398	42.838603	-71.011997
01862	23932092	1076075	9.24	0.415	42.578543	-71.295592
01863	11966347	840165	4.62	0.324	42.63378	-71.38947
01864	34086875	874056	13.161	0.337	42.578401	-71.084448
01867	25784572	36125	9.955	0.014	42.535183	-71.105423
01876	53006533	921435	20.466	0.356	42.611801	-71.227571
01879	43514291	3649865	16.801	1.409	42.667762	-71.42882
01880	17901490	1396460	6.912	0.539	42.501524	-71.067489
01886	78331445	2900091	30.244	1.12	42.585541	-71.44025
01887	43987645	445743	16.984	0.172	42.564647	-71.164516
01890	15623914	817439	6.032	0.316	42.452752	-71.144319
01901	641318	68752	0.248	0.027	42.460419	-70.946379
01902	6223957	235927	2.403	0.091	42.471039	-70.941535
01904	11714785	1301718	4.523	0.503	42.492456	-70.97393
01905	9215127	1194007	3.558	0.461	42.465998	-70.975792
01906	27966372	2599526	10.798	1.004	42.468432	-71.013946
01907	7860396	1107036	3.035	0.427	42.474145	-70.906597
01908	2786306	3481257	1.076	1.344	42.428234	-70.926071
01913	31836417	3729019	12.292	1.44	42.851293	-70.95581
01915	39082046	3958334	15.09	1.528	42.570665	-70.867583
01921	60997904	2196041	23.551	0.848	42.683108	-71.027188
01922	24845077	774070	9.593	0.299	42.757313	-70.914241
01923	34201830	2346800	13.205	0.906	42.574174	-70.950516
01929	36161119	5384240	13.962	2.079	42.640451	-70.771165
01930	67852041	13991607	26.198	5.402	42.61991	-70.681824
01937	189212	0	0.073	0.	42.585723	-70.984051
01938	78804520	13686732	30.427	5.284	42.68386	-70.842666
01940	27310871	1706409	10.545	0.659	42.534146	-71.038333
01944	23904156	3206997	9.229	1.238	42.576636	-70.767154
01945	11368597	8791482	4.389	3.394	42.501565	-70.858834
01949	34827527	2696586	13.447	1.041	42.606666	-71.010316
01950	21626521	5971677	8.35	2.306	42.812358	-70.891095
01951	35689338	6806830	13.78	2.628	42.773351	-70.850211
01952	39828338	6254024	15.378	2.415	42.844794	-70.841499
01960	41466295	1462438	16.01	0.565	42.534279	-70.969782
01966	18098023	4176221	6.988	1.612	42.640699	-70.62025
01969	45292656	4373279	17.488	1.689	42.720873	-70.89122
01970	21009016	14198304	8.112	5.482	42.524435	-70.870859
